4,62,50,24,33554434,-54
5,56,48,26,2303,-78
6,60,48,24,9,-76
7,58,46,26,12,-4
8,56,46,28,1,82
9,58,46,26,12,314
10,56,46,26,22,590
11,58,48,30,50,954
12,56,50,26,101,912
13,54,48,30,164,268
14,50,52,26,181,-586
15,50,56,26,140,-1056
16,44,56,30,80,-698
17,42,60,30,25,-284
18,42,60,28,42,18
19,42,54,30,27,102
20,40,56,26,33,84
21,40,56,28,57,90
22,34,52,26,33,-8
23,42,52,26,56,-34
24,40,50,24,48,-126
25,32,50,20,30,-56
26,38,48,24,41,54
27,38,46,22,35,36
28,34,48,22,41,68
29,32,44,24,45,-18
30,34,44,24,45,-200
31,30,44,22,38,-306
32,28,42,18,14,-216
33,28,38,22,2,104
34,30,40,22,6,390
35,32,40,22,30,394
36,28,42,20,59,54
37,28,44,22,62,-162
38,34,46,24,38,-122
39,32,48,26,40,86
40,28,52,24,41,250
41,32,48,24,52,274
42,32,50,20,78,246
43,36,54,26,78,360
44,36,56,26,93,560
45,36,56,24,133,482
46,38,60,26,158,-94
47,38,62,26,165,-562
48,46,64,30,115,-830
49,44,68,30,81,-674
50,44,70,26,38,-384
51,44,70,30,17,-130
52,46,70,30,24,-38
53,46,76,32,14,-30
54,50,68,30,14,-20
55,46,68,32,19,94
56,50,74,32,9,126
57,48,70,32,33,316
58,52,76,34,32,900
59,52,74,32,62,1962
60,50,74,32,173,2278
61,56,72,32,322,812
62,54,84,32,392,-1510
63,62,88,36,285,-2644
64,62,90,40,106,-1720
65,66,94,38,11,-394
66,64,96,40,30,188
67,62,92,36,34,944
68,58,86,40,41,2178
69,58,86,40,185,1876
70,68,84,40,349,-316
71,70,98,44,299,-2118
72,72,100,44,149,-1952
73,78,98,46,46,-892
74,76,102,46,8,52
75,72,104,42,13,1016
76,76,100,44,53,1884
77,76,100,44,164,960
78,74,102,44,290,-592
79,84,112,44,171,-708
80,82,114,42,105,2302
81,92,116,46,194,6110
82,90,106,42,525,7594
83,88,104,44,1013,4972
84,86,94,38,1297,-1336
85,82,90,38,1259,-6882
86,78,74,34,803,-8118
87,74,64,34,302,-5030
88,74,60,32,73,-1696
89,76,64,34,41,-376
90,82,66,34,30,-212
91,82,64,32,14,-156
92,80,64,38,11,-84
93,80,58,34,5,-42
94,82,60,34,2,-18
95,84,64,32,5,10
96,78,62,34,1,8
97,82,60,32,5,30
98,82,64,36,5,2
99,74,62,34,6,-14
100,82,60,30,5,14
101,80,64,32,3,0
102,80,62,34,9,0
103,78,60,34,3,-20
104,76,62,34,5,12
105,78,60,36,5,24
106,80,60,32,5,26
107,82,60,32,9,22
108,80,64,34,8,-16
109,78,60,34,9,-42
110,80,58,34,6,16
111,90,60,32,2,232
112,82,58,34,13,494
113,78,60,30,41,446
114,80,60,32,75,56
115,86,64,32,76,-436
116,86,64,32,50,-462
117,92,70,34,11,-244
118,86,66,34,12,-54
119,86,66,36,9,-54
120,86,64,34,3,34
121,84,64,36,5,108
122,86,62,36,14,14
123,86,66,34,18,-102
124,90,70,34,6,-112
125,88,64,34,1,30
126,88,64,36,1,32
127,90,64,32,11,-16
128,88,66,36,3,-40
129,88,68,34,1,218
130,86,62,36,5,378
131,84,68,34,38,318
132,92,64,36,53,18
133,92,66,34,53,-96
134,94,68,32,41,-192
135,92,70,34,41,-232
136,96,72,38,21,-234
137,96,68,40,9,-96
138,94,72,36,6,78
139,96,72,38,6,128
140,96,68,38,22,192
141,96,74,42,22,74
142,94,72,38,38,-90
143,100,74,42,29,-212
144,102,74,40,10,-164
145,98,76,42,9,-44
146,102,74,40,2,18
147,102,74,40,5,108
148,102,74,38,11,38
149,100,76,42,18,-72
150,96,78,40,9,-116
151,100,74,42,2,-26
152,96,74,40,1,62
153,98,74,42,5,12
154,98,72,40,11,-38
155,102,78,40,1,86
156,96,74,42,2,406
157,100,76,40,25,210
158,100,76,40,61,24
159,92,72,40,25,-286
160,96,72,40,41,-204
161,92,70,40,8,-222
162,94,70,42,2,74
