LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
samples=288152 size=1 D=2 S=0
Background color: (1078947517,1193252365,1078573555)
309,150280,143873,7
310,150405,143748,7
311,150555,143598,7
312,150555,143598,7
313,150693,143460,7
314,150853,143300,7
315,151500,142653,7
316,151911,142242,7
317,151911,142242,7
318,152780,141373,7
319,153138,141015,7
320,153138,141015,7
321,153138,141015,7
322,154105,140047,8
323,154152,140000,8
324,154274,139878,8
325,154498,139654,8
326,154977,139175,8
327,155481,138671,8
328,155481,138671,8
329,155577,138575,8
330,156246,137906,8
331,156272,137880,8
332,156462,137690,8
333,156463,137689,8
334,156631,137520,9
335,156919,137232,9
336,156919,137232,9
337,156952,137199,9
338,157144,137007,9
339,157540,136611,9
340,158021,136130,9
341,158023,136128,9
342,158525,135626,9
343,158827,135324,9
344,158827,135324,9
345,158871,135280,9
346,159063,135088,9
347,159337,134814,9
348,159490,134661,9
349,159490,134661,9
350,159840,134311,9
351,160302,133849,9
352,160302,133849,9
353,160387,133764,9
354,160762,133389,9
355,161159,132992,9
356,161661,132490,9
357,161977,132174,9
358,161995,132156,9
359,162030,132121,9
360,162030,132121,9
361,162445,131706,9
362,162536,131615,9
363,163169,130982,9
364,163283,130868,9
365,163326,130825,9
366,163549,130602,9
367,163811,130340,9
368,163811,130340,9
369,163811,130340,9
370,164378,129773,9
371,165115,129036,9
372,165318,128833,9
373,165394,128757,9
374,165904,128247,9
375,166903,127248,9
376,166903,127248,9
377,167052,127099,9
378,167245,126906,9
379,167526,126625,9
380,167527,126624,9
381,167527,126624,9
382,167833,126318,9
383,168180,125971,9
384,168180,125971,9
385,168207,125944,9
386,168289,125862,9
387,168616,125535,9
388,168854,125297,9
389,168876,125275,9
390,169145,125006,9
391,169755,124396,9
392,169755,124396,9
393,170078,124073,9
394,170598,123553,9
395,170716,123435,9
396,170764,123387,9
397,171160,122991,9
398,171302,122849,9
399,171723,122427,10
400,171723,122427,10
401,171723,122427,10
402,172059,122091,10
403,172165,121985,10
404,172203,121947,10
405,172272,121878,10
406,172657,121493,10
407,172801,121349,10
408,172801,121349,10
409,172916,121234,10
410,173240,120910,10
411,173443,120707,10
412,173927,120223,10
413,173927,120223,10
414,174171,119979,10
415,174522,119628,10
416,174522,119628,10
417,174741,119409,10
418,174807,119343,10
419,174903,119247,10
420,175428,118722,10
421,175637,118513,10
422,175827,118323,10
423,175950,118200,10
424,175950,118200,10
425,175995,118155,10
426,177005,117145,10
427,177268,116882,10
428,177270,116880,10
429,177275,116875,10
430,177794,116356,10
431,178136,116014,10
432,178136,116014,10
433,178136,116014,10
434,178436,115714,10
435,178901,115249,10
436,178956,115194,10
437,179073,115077,10
438,179772,114378,10
439,179911,114239,10
440,179911,114239,10
441,179950,114200,10
442,180182,113968,10
443,180387,113763,10
444,180458,113691,11
445,180458,113691,11
446,180465,113684,11
447,180938,113210,12
448,180938,113210,12
449,180938,113210,12
450,181561,112587,12
451,181641,112507,12
452,182016,112132,12
453,182062,112086,12
454,182343,111805,12
455,182514,111634,12
456,182514,111634,12
457,182741,111405,14
458,182930,111216,14
459,183543,110603,14
460,183956,110190,14
461,183990,110156,14
462,184366,109780,14
463,184771,109375,14
464,184771,109375,14
465,184787,109359,14
466,184833,109313,14
467,184837,109309,14
468,184864,109282,14
469,185234,108912,14
470,185372,108773,15
471,185664,108481,15
472,185664,108481,15
473,185900,108245,15
474,185990,108155,15
475,186313,107832,15
476,186428,107717,15
477,186428,107717,15
478,186586,107559,15
479,186668,107477,15
480,186668,107477,15
481,186676,107469,15
482,186947,107198,15
483,187419,106726,15
484,187626,106519,15
485,187805,106340,15
486,188029,106116,15
487,188606,105539,15
488,188606,105539,15
489,188730,105415,15
490,188871,105274,15
491,189010,105135,15
492,189207,104938,15
493,189249,104896,15
494,189265,104880,15
495,190021,104124,15
496,190021,104124,15
497,190021,104124,15
498,190287,103858,15
499,190438,103707,15
500,190444,103701,15
501,190476,103669,15
502,190949,103196,15
503,191271,102874,15
504,191271,102874,15
505,191426,102719,15
506,191667,102478,15
507,192217,101928,15
508,192351,101794,15
509,192351,101794,15
510,192868,101277,15
511,192948,101196,16
512,192948,101196,16
513,193028,101116,16
514,193104,101040,16
515,193474,100670,16
516,193641,100503,16
517,193955,100189,16
518,193969,100175,16
519,194249,99895,16
520,194249,99895,16
521,194249,99895,16
522,195018,99126,16
523,195186,98958,16
524,195299,98845,16
525,195302,98842,16
526,195620,98524,16
